sentiment,message
positive,"Curso excelente, aprendi bastante!"
positive,"Amazing course, learned a lot!"
positive,Best course I've ever taken!
positive,"Curso excelente, aprendi bastante!"
neutral,"Curso aceitável, nada excepcional."
positive,The instructors were top-notch!
positive,"Amazing course, learned a lot!"
positive,The instructors were top-notch!
neutral,"Not great, not terrible."
positive,"Professores maravilhosos, valeu a pena!"
negative,"Curso péssimo, não recomendo."
positive,Amei cada módulo do curso.
neutral,O curso é razoável.
positive,Conteúdo relevante e bem estruturado.
positive,"Curso excelente, aprendi bastante!"
positive,Amei cada módulo do curso.
neutral,"Curso aceitável, nada excepcional."
positive,The instructors were top-notch!
neutral,"It was fine, nothing special."
negative,Instructors were not helpful at all.
positive,"I loved the course, it was fantastic!"
neutral,Average course experience.
positive,Best course I've ever taken!
positive,"Curso excelente, aprendi bastante!"
neutral,"Está ok, mas poderia melhorar."
positive,Amei cada módulo do curso.
positive,"Incredible experience, highly recommended."
positive,The instructors were top-notch!
positive,"Curso excelente, aprendi bastante!"
positive,Best course I've ever taken!
neutral,"Nem bom nem ruim, cumpriu o básico."
positive,"Curso excelente, aprendi bastante!"
neutral,Average course experience.
negative,Instructors were not helpful at all.
neutral,"Standard experience, nothing more."
positive,The instructors were top-notch!
negative,"Terrible course, waste of time."
positive,"Professores maravilhosos, valeu a pena!"
positive,Amei cada módulo do curso.
neutral,The course was okay overall.
negative,"Curso péssimo, não recomendo."
negative,Very disappointing experience.
neutral,"Not great, not terrible."
neutral,"Curso aceitável, nada excepcional."
neutral,O curso é razoável.
positive,Best course I've ever taken!
negative,Instructors were not helpful at all.
positive,Amei cada módulo do curso.
positive,The instructors were top-notch!
negative,Instructors were not helpful at all.
neutral,"Not great, not terrible."
negative,Muito abaixo das expectativas.
neutral,"Not great, not terrible."
positive,"Incredible experience, highly recommended."
neutral,"Standard experience, nothing more."
positive,"Professores maravilhosos, valeu a pena!"
positive,"Incredible experience, highly recommended."
positive,"I loved the course, it was fantastic!"
positive,The instructors were top-notch!
positive,"Professores maravilhosos, valeu a pena!"
negative,Conteúdo confuso e mal explicado.
positive,"I loved the course, it was fantastic!"
negative,"Não gostei do curso, muito ruim."
neutral,"Curso aceitável, nada excepcional."
positive,"Amazing course, learned a lot!"
positive,Best course I've ever taken!
positive,"Curso excelente, aprendi bastante!"
negative,Conteúdo confuso e mal explicado.
neutral,O curso é razoável.
positive,Best course I've ever taken!
neutral,O curso é razoável.
negative,Conteúdo confuso e mal explicado.
positive,"Incredible experience, highly recommended."
positive,"Professores maravilhosos, valeu a pena!"
positive,"Curso excelente, aprendi bastante!"
positive,Best course I've ever taken!
positive,"Amazing course, learned a lot!"
positive,"Amazing course, learned a lot!"
positive,Best course I've ever taken!
positive,Amei cada módulo do curso.
neutral,Average course experience.
positive,"Adorei o curso, super recomendo!"
positive,Conteúdo relevante e bem estruturado.
negative,Professores despreparados.
positive,Best course I've ever taken!
positive,"Curso excelente, aprendi bastante!"
positive,"Incredible experience, highly recommended."
positive,"Professores maravilhosos, valeu a pena!"
neutral,The course was okay overall.
neutral,The course was okay overall.
positive,"Curso excelente, aprendi bastante!"
neutral,The course was okay overall.
neutral,Average course experience.
positive,"Amazing course, learned a lot!"
positive,"Curso excelente, aprendi bastante!"
positive,"Curso excelente, aprendi bastante!"
positive,"Amazing course, learned a lot!"
negative,"Curso péssimo, não recomendo."
positive,"I loved the course, it was fantastic!"
neutral,O curso é razoável.
positive,"Amazing course, learned a lot!"
positive,"Incredible experience, highly recommended."
neutral,"It was fine, nothing special."
positive,Best course I've ever taken!
positive,Amei cada módulo do curso.
positive,"Incredible experience, highly recommended."
positive,"Incredible experience, highly recommended."
neutral,"Está ok, mas poderia melhorar."
positive,"Professores maravilhosos, valeu a pena!"
positive,"Incredible experience, highly recommended."
neutral,"Curso aceitável, nada excepcional."
positive,"Adorei o curso, super recomendo!"
neutral,"Not great, not terrible."
positive,Amei cada módulo do curso.
neutral,Experiência mediana.
positive,"I loved the course, it was fantastic!"
positive,"Incredible experience, highly recommended."
positive,"Amazing course, learned a lot!"
positive,"Amazing course, learned a lot!"
positive,Conteúdo relevante e bem estruturado.
positive,Conteúdo relevante e bem estruturado.
positive,"Incredible experience, highly recommended."
neutral,The course was okay overall.
positive,"Curso excelente, aprendi bastante!"
positive,"Professores maravilhosos, valeu a pena!"
positive,"Professores maravilhosos, valeu a pena!"
negative,Muito abaixo das expectativas.
neutral,The course was okay overall.
positive,Best course I've ever taken!
positive,"Incredible experience, highly recommended."
positive,"Professores maravilhosos, valeu a pena!"
neutral,"It was fine, nothing special."
negative,Very disappointing experience.
positive,Amei cada módulo do curso.
positive,"I loved the course, it was fantastic!"
neutral,"Nem bom nem ruim, cumpriu o básico."
negative,Very disappointing experience.
neutral,"Not great, not terrible."
positive,Amei cada módulo do curso.
neutral,The course was okay overall.
positive,Conteúdo relevante e bem estruturado.
positive,The instructors were top-notch!
positive,The instructors were top-notch!
negative,"Terrible course, waste of time."
positive,Best course I've ever taken!
neutral,"Nem bom nem ruim, cumpriu o básico."
neutral,O curso é razoável.
neutral,"Not great, not terrible."
positive,"Professores maravilhosos, valeu a pena!"
positive,"I loved the course, it was fantastic!"
negative,Very disappointing experience.
positive,The instructors were top-notch!
neutral,The course was okay overall.
positive,"I loved the course, it was fantastic!"
neutral,"Not great, not terrible."
positive,"Professores maravilhosos, valeu a pena!"
positive,Amei cada módulo do curso.
neutral,"Nem bom nem ruim, cumpriu o básico."
neutral,Experiência mediana.
positive,"I loved the course, it was fantastic!"
neutral,"Está ok, mas poderia melhorar."
neutral,"Curso aceitável, nada excepcional."
positive,"Amazing course, learned a lot!"
neutral,"Nem bom nem ruim, cumpriu o básico."
positive,Best course I've ever taken!
positive,Best course I've ever taken!
neutral,"Standard experience, nothing more."
positive,"Professores maravilhosos, valeu a pena!"
positive,"I loved the course, it was fantastic!"
neutral,O curso é razoável.
positive,"Incredible experience, highly recommended."
positive,"I loved the course, it was fantastic!"
positive,"Incredible experience, highly recommended."
neutral,Average course experience.
neutral,"Not great, not terrible."
positive,The instructors were top-notch!
positive,Best course I've ever taken!
negative,Instructors were not helpful at all.
positive,The instructors were top-notch!
neutral,Average course experience.
positive,"I loved the course, it was fantastic!"
neutral,The course was okay overall.
positive,The instructors were top-notch!
positive,"I loved the course, it was fantastic!"
neutral,"Está ok, mas poderia melhorar."
negative,"Terrible course, waste of time."
neutral,"Not great, not terrible."
neutral,"Curso aceitável, nada excepcional."
positive,"Amazing course, learned a lot!"
positive,"Professores maravilhosos, valeu a pena!"
neutral,"Not great, not terrible."
neutral,"Nem bom nem ruim, cumpriu o básico."
positive,"Professores maravilhosos, valeu a pena!"
positive,"Adorei o curso, super recomendo!"
positive,"I loved the course, it was fantastic!"
positive,"I loved the course, it was fantastic!"
neutral,"Está ok, mas poderia melhorar."
positive,"Professores maravilhosos, valeu a pena!"
neutral,Experiência mediana.
neutral,"Está ok, mas poderia melhorar."
neutral,"Not great, not terrible."
neutral,Experiência mediana.
neutral,"Curso aceitável, nada excepcional."
negative,"Terrible course, waste of time."
neutral,Experiência mediana.
negative,Instructors were not helpful at all.
neutral,Experiência mediana.
positive,Amei cada módulo do curso.
positive,The instructors were top-notch!
neutral,"Nem bom nem ruim, cumpriu o básico."
positive,Conteúdo relevante e bem estruturado.
neutral,"It was fine, nothing special."
positive,Best course I've ever taken!
positive,"Amazing course, learned a lot!"
positive,"Amazing course, learned a lot!"
positive,Best course I've ever taken!
positive,Best course I've ever taken!
neutral,Average course experience.
negative,Conteúdo confuso e mal explicado.
positive,"Professores maravilhosos, valeu a pena!"
positive,Best course I've ever taken!
positive,"Incredible experience, highly recommended."
neutral,The course was okay overall.
positive,"Adorei o curso, super recomendo!"
positive,Amei cada módulo do curso.
negative,Instructors were not helpful at all.
negative,Very disappointing experience.
neutral,"Curso aceitável, nada excepcional."
neutral,"Está ok, mas poderia melhorar."
positive,Best course I've ever taken!
positive,"Professores maravilhosos, valeu a pena!"
neutral,O curso é razoável.
positive,"Professores maravilhosos, valeu a pena!"
positive,The instructors were top-notch!
neutral,"Not great, not terrible."
positive,"Amazing course, learned a lot!"
neutral,Experiência mediana.
positive,"Curso excelente, aprendi bastante!"
negative,Professores despreparados.
positive,The instructors were top-notch!
positive,"Curso excelente, aprendi bastante!"
positive,"Curso excelente, aprendi bastante!"
neutral,Experiência mediana.
positive,"I loved the course, it was fantastic!"
positive,"Incredible experience, highly recommended."
positive,"I loved the course, it was fantastic!"
negative,Conteúdo confuso e mal explicado.
positive,"Amazing course, learned a lot!"
positive,Conteúdo relevante e bem estruturado.
positive,"Curso excelente, aprendi bastante!"
positive,"Incredible experience, highly recommended."
positive,"I loved the course, it was fantastic!"
negative,Very disappointing experience.
neutral,Average course experience.
negative,Muito abaixo das expectativas.
negative,Would never recommend this course.
positive,"I loved the course, it was fantastic!"
negative,Professores despreparados.
positive,The instructors were top-notch!
positive,Best course I've ever taken!
neutral,"Curso aceitável, nada excepcional."
neutral,Average course experience.
positive,Conteúdo relevante e bem estruturado.
positive,The instructors were top-notch!
positive,Conteúdo relevante e bem estruturado.
positive,"Incredible experience, highly recommended."
positive,"Amazing course, learned a lot!"
positive,"I loved the course, it was fantastic!"
positive,"Amazing course, learned a lot!"
positive,"Amazing course, learned a lot!"
positive,Best course I've ever taken!
neutral,The course was okay overall.
negative,Would never recommend this course.
negative,Poorly structured and confusing.
positive,"I loved the course, it was fantastic!"
positive,"Professores maravilhosos, valeu a pena!"
negative,Conteúdo confuso e mal explicado.
positive,"I loved the course, it was fantastic!"
positive,"Professores maravilhosos, valeu a pena!"
positive,"Adorei o curso, super recomendo!"
neutral,"Not great, not terrible."
positive,"Incredible experience, highly recommended."
positive,"Professores maravilhosos, valeu a pena!"
negative,Instructors were not helpful at all.
positive,"Professores maravilhosos, valeu a pena!"
positive,"I loved the course, it was fantastic!"
negative,Would never recommend this course.
neutral,"Está ok, mas poderia melhorar."
neutral,"It was fine, nothing special."
positive,"Incredible experience, highly recommended."
negative,"Não gostei do curso, muito ruim."
positive,"Adorei o curso, super recomendo!"
positive,The instructors were top-notch!
positive,Conteúdo relevante e bem estruturado.
negative,"Não gostei do curso, muito ruim."
negative,Very disappointing experience.
positive,"Amazing course, learned a lot!"
positive,"Incredible experience, highly recommended."
positive,"Incredible experience, highly recommended."
neutral,The course was okay overall.
positive,The instructors were top-notch!
positive,"I loved the course, it was fantastic!"
positive,"Adorei o curso, super recomendo!"
positive,Best course I've ever taken!
positive,"Adorei o curso, super recomendo!"
negative,Conteúdo confuso e mal explicado.
negative,Poorly structured and confusing.
negative,"Curso péssimo, não recomendo."
positive,Best course I've ever taken!
positive,"Incredible experience, highly recommended."
positive,Best course I've ever taken!
positive,Amei cada módulo do curso.
positive,"Incredible experience, highly recommended."
positive,Best course I've ever taken!
positive,"Amazing course, learned a lot!"
positive,The instructors were top-notch!
positive,"Adorei o curso, super recomendo!"
positive,Conteúdo relevante e bem estruturado.
positive,"Professores maravilhosos, valeu a pena!"
positive,Conteúdo relevante e bem estruturado.
neutral,O curso é razoável.
negative,Very disappointing experience.
positive,"Professores maravilhosos, valeu a pena!"
negative,Very disappointing experience.
positive,Best course I've ever taken!
neutral,"Not great, not terrible."
positive,"Adorei o curso, super recomendo!"
neutral,"Está ok, mas poderia melhorar."
negative,Professores despreparados.
positive,"I loved the course, it was fantastic!"
positive,"Amazing course, learned a lot!"
positive,"Professores maravilhosos, valeu a pena!"
positive,Conteúdo relevante e bem estruturado.
positive,Conteúdo relevante e bem estruturado.
positive,The instructors were top-notch!
negative,"Não gostei do curso, muito ruim."
negative,Muito abaixo das expectativas.
positive,"Professores maravilhosos, valeu a pena!"
negative,Would never recommend this course.
positive,"Professores maravilhosos, valeu a pena!"
positive,Conteúdo relevante e bem estruturado.
positive,Conteúdo relevante e bem estruturado.
neutral,"Está ok, mas poderia melhorar."
positive,Best course I've ever taken!
positive,Best course I've ever taken!
positive,"Incredible experience, highly recommended."
positive,Amei cada módulo do curso.
positive,Best course I've ever taken!
positive,"Curso excelente, aprendi bastante!"
positive,"Amazing course, learned a lot!"
neutral,"It was fine, nothing special."
positive,The instructors were top-notch!
negative,Very disappointing experience.
positive,"Adorei o curso, super recomendo!"
positive,Best course I've ever taken!
positive,Best course I've ever taken!
neutral,Average course experience.
positive,"Amazing course, learned a lot!"
positive,"Curso excelente, aprendi bastante!"
negative,Muito abaixo das expectativas.
negative,Muito abaixo das expectativas.
positive,Best course I've ever taken!
negative,Would never recommend this course.
negative,Conteúdo confuso e mal explicado.
neutral,Average course experience.
positive,"Adorei o curso, super recomendo!"
neutral,"Nem bom nem ruim, cumpriu o básico."
neutral,"Nem bom nem ruim, cumpriu o básico."
positive,Conteúdo relevante e bem estruturado.
positive,"Incredible experience, highly recommended."
negative,"Terrible course, waste of time."
positive,"Professores maravilhosos, valeu a pena!"
negative,Muito abaixo das expectativas.
positive,"I loved the course, it was fantastic!"
neutral,"Nem bom nem ruim, cumpriu o básico."
positive,Conteúdo relevante e bem estruturado.
positive,"Amazing course, learned a lot!"
positive,Best course I've ever taken!
neutral,"Está ok, mas poderia melhorar."
positive,"I loved the course, it was fantastic!"
neutral,"Curso aceitável, nada excepcional."
negative,Very disappointing experience.
negative,Muito abaixo das expectativas.
positive,"I loved the course, it was fantastic!"
positive,"Amazing course, learned a lot!"
positive,"Curso excelente, aprendi bastante!"
positive,"Amazing course, learned a lot!"
positive,The instructors were top-notch!
neutral,"Curso aceitável, nada excepcional."
positive,The instructors were top-notch!
neutral,"It was fine, nothing special."
neutral,Experiência mediana.
positive,Conteúdo relevante e bem estruturado.
negative,"Terrible course, waste of time."
positive,Conteúdo relevante e bem estruturado.
neutral,The course was okay overall.
neutral,Average course experience.
negative,Instructors were not helpful at all.
positive,Amei cada módulo do curso.
positive,Amei cada módulo do curso.
positive,"Amazing course, learned a lot!"
positive,"Incredible experience, highly recommended."
positive,Best course I've ever taken!
positive,Conteúdo relevante e bem estruturado.
neutral,"Está ok, mas poderia melhorar."
positive,"Amazing course, learned a lot!"
negative,Poorly structured and confusing.
neutral,"Standard experience, nothing more."
positive,"Incredible experience, highly recommended."
positive,"Curso excelente, aprendi bastante!"
positive,Best course I've ever taken!
negative,Poorly structured and confusing.
neutral,"Está ok, mas poderia melhorar."
positive,"I loved the course, it was fantastic!"
neutral,"Curso aceitável, nada excepcional."
positive,"Amazing course, learned a lot!"
positive,"Professores maravilhosos, valeu a pena!"
positive,"Adorei o curso, super recomendo!"
positive,The instructors were top-notch!
positive,Best course I've ever taken!
positive,Amei cada módulo do curso.
positive,"Curso excelente, aprendi bastante!"
positive,Best course I've ever taken!
positive,"Adorei o curso, super recomendo!"
positive,"Adorei o curso, super recomendo!"
positive,"Curso excelente, aprendi bastante!"
positive,"Professores maravilhosos, valeu a pena!"
positive,Best course I've ever taken!
positive,"I loved the course, it was fantastic!"
positive,"I loved the course, it was fantastic!"
negative,Instructors were not helpful at all.
neutral,"Está ok, mas poderia melhorar."
positive,"Professores maravilhosos, valeu a pena!"
positive,"Adorei o curso, super recomendo!"
positive,The instructors were top-notch!
positive,"Curso excelente, aprendi bastante!"
negative,"Terrible course, waste of time."
positive,"Incredible experience, highly recommended."
